"currency","identifier","draw","mean_ichange_over_ts","mean_abs_ichange_over_ts","k"
"scaled_energy","bbs_rtrg_1_14",4,0.0196040909873734,0.0196040909873734,5
"scaled_energy","bbs_rtrg_1_14",5,0.0199054493558971,0.0199054493558971,5
"scaled_energy","bbs_rtrg_1_14",6,0.0195614137153519,0.0196049508568443,5
"scaled_energy","bbs_rtrg_1_14",7,0.02062497851413,0.02062497851413,5
"scaled_energy","bbs_rtrg_1_14",8,0.0191147727027979,0.0191147727027979,5
"scaled_energy","bbs_rtrg_1_14",9,0.0197192162546209,0.0197192162546209,5
"scaled_energy","bbs_rtrg_1_14",10,0.0191971547144023,0.0191971547144023,5
"scaled_energy","bbs_rtrg_1_14",11,0.0209813730936614,0.0209813730936614,5
"scaled_energy","bbs_rtrg_1_14",12,0.0211938684179542,0.0220246501997963,5
"scaled_energy","bbs_rtrg_1_14",13,0.0208873091519839,0.0210982871524432,5
"scaled_energy","bbs_rtrg_1_14",14,0.0209915273238503,0.0216041854713118,5
"scaled_energy","bbs_rtrg_1_14",15,0.0209755046292186,0.0209755046292186,5
"scaled_energy","bbs_rtrg_1_14",16,0.019516395221187,0.0196418155707899,5
"scaled_energy","bbs_rtrg_1_14",17,0.0195954422472023,0.0195954422472023,5
"scaled_energy","bbs_rtrg_1_14",18,0.0204304307070693,0.0204304307070693,5
"scaled_energy","bbs_rtrg_1_14",19,0.0202645098007386,0.0202645098007386,5
"scaled_energy","bbs_rtrg_1_14",20,0.0198475594787993,0.0198475594787993,5
"scaled_energy","bbs_rtrg_1_14",21,0.0194435426659871,0.0194776031027458,5
"scaled_energy","bbs_rtrg_1_14",22,0.0204432670535254,0.0204432670535254,5
"scaled_energy","bbs_rtrg_1_14",23,0.0205445347635263,0.0205445347635263,5
"scaled_energy","bbs_rtrg_1_14",24,0.0198581249730329,0.0202164993705188,5
"scaled_energy","bbs_rtrg_1_14",25,0.0207760831072475,0.0207760831072475,5
"scaled_energy","bbs_rtrg_1_14",26,0.0203628279695551,0.0206891602458963,5
"scaled_energy","bbs_rtrg_1_14",27,0.0202943521032364,0.0202943521032364,5
"scaled_energy","bbs_rtrg_1_14",28,0.0204971103655814,0.0204971103655814,5
"scaled_energy","bbs_rtrg_1_14",29,0.0195655344189918,0.0195655344189918,5
"scaled_energy","bbs_rtrg_1_14",30,0.0206506775495286,0.0206506775495286,5
"scaled_energy","bbs_rtrg_1_14",31,0.0218385417151396,0.0218385417151396,5
