"draw","start","end","net_change","net_proportional","currency","identifier","k"
19,421.449925931055,1050.58157446688,629.131648535826,1.49277911758073,"scaled_energy","bbs_rtrg_1_14",5
20,422.872686321881,1033.61234294138,610.739656619498,1.44426366699555,"scaled_energy","bbs_rtrg_1_14",5
21,438.311541107142,1054.12603640128,615.814495294133,1.40496983889275,"scaled_energy","bbs_rtrg_1_14",5
22,415.007753193271,1041.32054471061,626.312791517342,1.50915925473244,"scaled_energy","bbs_rtrg_1_14",5
23,419.091396532578,1057.72214589523,638.630749362653,1.52384600267739,"scaled_energy","bbs_rtrg_1_14",5
24,424.309157815207,1038.56316159484,614.254003779631,1.44765672026138,"scaled_energy","bbs_rtrg_1_14",5
25,411.230730882829,1047.6993627699,636.468631887071,1.54771660795073,"scaled_energy","bbs_rtrg_1_14",5
26,431.595106662685,1081.17326161702,649.578154954339,1.50506376213857,"scaled_energy","bbs_rtrg_1_14",5
27,421.678659455009,1053.03305590315,631.354396448141,1.49724057002108,"scaled_energy","bbs_rtrg_1_14",5
28,426.278067052662,1074.92452731837,648.64646026571,1.52165103109932,"scaled_energy","bbs_rtrg_1_14",5
29,436.636110577375,1055.71532376291,619.079213185538,1.41783787045674,"scaled_energy","bbs_rtrg_1_14",5
30,417.560121436447,1059.27756704843,641.71744561198,1.53682646562227,"scaled_energy","bbs_rtrg_1_14",5
31,392.191008933369,1046.68071877442,654.489709841055,1.66880345273863,"scaled_energy","bbs_rtrg_1_14",5
32,411.613851909968,1109.34586466494,697.732012754971,1.69511305199609,"scaled_energy","bbs_rtrg_1_14",5
33,436.940507544459,1083.98188046753,647.041372923067,1.48084547381369,"scaled_energy","bbs_rtrg_1_14",5
34,414.784046774838,1054.97054971888,640.186502944041,1.54342122827969,"scaled_energy","bbs_rtrg_1_14",5
35,425.003633303183,1059.88649546983,634.882862166642,1.49382925795775,"scaled_energy","bbs_rtrg_1_14",5
36,423.235420635604,1057.17966882304,633.94424818744,1.49785253614974,"scaled_energy","bbs_rtrg_1_14",5
37,428.786222069688,1090.05145462171,661.265232552023,1.54217929242267,"scaled_energy","bbs_rtrg_1_14",5
38,412.638094855241,1068.63614776745,655.998052912205,1.5897660954991,"scaled_energy","bbs_rtrg_1_14",5
