"year","richness","abundance","biomass","energy","mean_energy","mean_mass","site_name","time","scaled_energy"
1991,40,894,84294.8979797249,227218.325547765,254.159200836426,94.2895950556207,"cranbury",NA,897.071237586383
1993,46,941,81536.0151173079,223562.474125341,237.579674947228,86.6482626113793,"cranbury",NA,882.63772236687
1995,46,778,61698.6890849629,172599.173400024,221.849837275095,79.3042276156336,"cranbury",NA,681.431630635785
1996,48,913,80274.9720814696,215279.23115634,235.793243325673,87.9243943937236,"cranbury",NA,849.934994699474
1997,45,952,86664.1618120226,233079.71613557,244.831634596187,91.0337834159902,"cranbury",NA,920.212350416536
1998,37,730,75794.9680297909,197167.053265822,270.091853788797,103.828723328481,"cranbury",NA,778.427057140026
1999,36,781,74040.3105729179,199677.051503318,255.668439824992,94.8019341522636,"cranbury",NA,788.336676972943
2000,34,631,71406.4267910748,179718.853005701,284.815931863235,113.163909336093,"cranbury",NA,709.540542096541
2001,35,742,132564.706093938,256953.932134532,346.299099911768,178.658633549781,"cranbury",NA,1014.46915140723
2002,41,892,123024.52395992,263042.923461003,294.89116979933,137.919869910224,"cranbury",NA,1038.50884526432
2003,35,627,80240.7511029845,176111.459126654,280.879520138204,127.975679590087,"cranbury",NA,695.298340092205
2005,40,729,71194.3301633144,187525.116538897,257.23609950466,97.6602608550266,"cranbury",NA,740.36012705637
2010,45,868,70226.1415096476,193400.751171238,222.811925312487,80.9056929834649,"cranbury",NA,763.557476207381
2013,47,608,48586.2410445496,130486.420729166,214.615823567708,79.9115806653777,"cranbury",NA,515.168020226975
2015,42,656,45910.0343309131,132743.918556449,202.353534384831,69.98480843127,"cranbury",NA,524.080753673484
2017,42,543,60785.3089877712,143447.841443283,264.17650357879,111.943478798842,"cranbury",NA,566.340467224198
2018,42,435,42405.5565251443,102822.191168741,236.372853261474,97.4840379888375,"cranbury",NA,405.948024045693
